"";"airplanes";"bonsai";"Faces";"minaret";"Motorbikes";"scorpion";"starfish";"trilobite";"umbrella";"watch"
"airplanes";18;1;0;0;0;0;0;0;0;1
"bonsai";0;13;0;0;0;2;1;0;3;0
"Faces";0;1;16;0;0;0;2;0;0;0
"minaret";0;0;0;18;0;1;0;0;0;0
"Motorbikes";0;0;0;0;18;0;0;0;0;0
"scorpion";0;2;1;0;0;8;1;0;0;0
"starfish";0;1;1;0;0;6;13;0;0;0
"trilobite";0;0;0;0;0;0;0;17;0;0
"umbrella";0;0;0;0;0;1;1;1;15;2
"watch";0;0;0;0;0;0;0;0;0;15
